id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,delta_temporal_faq_seg,atualidade,qoi
F002,faq,Preciso usar Bilhete Único para andar gratuitamente aos domingos?,"Sim, você deve usar o Bilhete Único para andar gratuitamente aos domingos. Ao encostar o Bilhete Único no validador, a catraca é liberada, mas a tarifa não é cobrada.",monoagente,2.9244,faq,faq,,2026-06-30T09:49:01.539844,2026-06-30T09:49:04.463650,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:01.539844,2026-06-30T09:49:01.539844,,,,,,,,,Preciso usar o Bilhete Único?,Sim. Os passageiros devem usar o Bilhete Único. Ao encostar o Bilhete Único no validador a catraca é liberada mas a tarifa não é cobrada.,"Preciso usar o Bilhete Único?

Sim. Os passageiros devem usar o Bilhete Único. Ao encostar o Bilhete Único no validador a catraca é liberada mas a tarifa não é cobrada.",GRATUIDADE AOS DOMINGOS,1.0,1.0,1,1.0,1.0,,,,2.9238,1.0,1.000000
F006,faq,"No Aquático SP, os barcos são seguros para quem não sabe nadar?","Sim, os barcos do Aquático SP são seguros para quem não sabe nadar. Eles são vistoriados e aprovados pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.",monoagente,3.0063,faq,faq,,2026-06-30T09:49:04.463650,2026-06-30T09:49:07.471433,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:04.463650,2026-06-30T09:49:04.463650,,,,,,,,,"Eu não sei nadar, os barcos são seguros?","Sim, os barcos são vistoriados e aprovadas pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.","Eu não sei nadar, os barcos são seguros?

Sim, os barcos são vistoriados e aprovadas pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.",AQUÁTICO SP,1.0,1.0,1,0.9231,1.0,,,,3.0078,1.0,0.974367
F007,faq,Os barcos do Aquático SP têm espaço para levar bicicleta?,"Sim, os barcos do Aquático SP têm espaço exclusivo para o transporte de bicicletas.",monoagente,1.8841,faq,faq,,2026-06-30T09:49:07.471433,2026-06-30T09:49:09.350207,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:07.471433,2026-06-30T09:49:07.471433,,,,,,,,,Os barcos têm espaço para transporte de bicicleta?,O Aquático-SP conta com barcos com espaço exclusivo para o transporte de bicicletas.,"Os barcos têm espaço para transporte de bicicleta?

O Aquático-SP conta com barcos com espaço exclusivo para o transporte de bicicletas.",AQUÁTICO SP,1.0,1.0,1,1.0,1.0,,,,1.8788,1.0,1.000000
F010,faq,Posso levar animal de estimação no Aquático SP?,"Sim, é permitido levar animais de estimação de pequeno porte no Aquático SP, desde que estejam em caixas apropriadas e transportados no colo, conforme a Lei 16.125/2015.",monoagente,2.9847,faq,faq,,2026-06-30T09:49:09.350207,2026-06-30T09:49:12.341663,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:09.350207,2026-06-30T09:49:09.350207,,,,,,,,,Posso levar meu animal de estimação?,"Sim. Animais de estimação, de pequeno porte, em caixas apropriadas, podem ser transportados no colo - Lei 16.125/2015","Posso levar meu animal de estimação?

Sim. Animais de estimação, de pequeno porte, em caixas apropriadas, podem ser transportados no colo - Lei 16.125/2015",AQUÁTICO SP,1.0,1.0,1,0.8409,1.0,,,,2.9915,1.0,0.946967
F011,faq,O que é o Serviço de Atendimento Especial Atende+ da SPTrans?,"O Serviço de Atendimento Especial Atende+ é uma modalidade de transporte gratuita, que promove a inclusão social, destinada a pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para facilitar o embarque e desembarque. O serviço opera das 7h às 20h, de segunda a domingo, e é regido pela Lei 16.337 de 30/12/2015. Para mais informações, você pode consultar o regulamento no site da SPTrans.",monoagente,3.1097,faq,faq,,2026-06-30T09:49:12.343813,2026-06-30T09:49:15.453260,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:12.343813,2026-06-30T09:49:12.343813,,,,,,,,,O que é o Serviço de Atendimento Especial Atende+?,"É uma modalidade de transporte que promove a inclusão social de forma gratuita, porta a porta, destinada às pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para embarque e desembarque. Horário do serviço: das 7h às 20h, de segunda-feira a domingo. O Serviço é regido pela Lei 16.337 de 30/12/2015.","O que é o Serviço de Atendimento Especial Atende+?

É uma modalidade de transporte que promove a inclusão social de forma gratuita, porta a porta, destinada às pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para embarque e desembarque. Horário do serviço: das 7h às 20h, de segunda-feira a domingo. O Serviço é regido pela Lei 16.337 de 30/12/2015.",ATENDE+,1.0,1.0,1,0.9394,1.0,,,,3.1094,1.0,0.979800
F012,faq,A quem se destina o Serviço Atende+ da SPTrans?,"O Serviço Atende+ da SPTrans destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida. Essas pessoas não apresentam condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou manifestam grandes restrições ao acesso e uso de equipamentos urbanos.",monoagente,2.3027,faq,faq,,2026-06-30T09:49:15.455263,2026-06-30T09:49:17.757080,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:15.454267,2026-06-30T09:49:15.454267,,,,,,,,,A quem se destina o Serviço Atende+?,"Destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida, as quais não apresentem condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou que manifestem grandes restrições ao acesso e uso de equipamentos urbanos.","A quem se destina o Serviço Atende+?

Destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida, as quais não apresentem condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou que manifestem grandes restrições ao acesso e uso de equipamentos urbanos.",ATENDE+,1.0,1.0,1,0.8333,1.0,,,,2.3028,1.0,0.944433
F014,faq,Autistas e surdocegos precisam de acompanhante no Serviço Atende+?,"Sim, autistas e surdocegos precisam obrigatoriamente de acompanhantes em suas viagens no Serviço Atende+.",monoagente,1.8251,faq,faq,,2026-06-30T09:49:17.758076,2026-06-30T09:49:19.583883,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:17.758076,2026-06-30T09:49:17.758076,,,,,,,,,Autistas e surdocegos precisam de acompanhantes?,Essas pessoas precisam obrigatoriamente de acompanhantes em suas viagens.,"Autistas e surdocegos precisam de acompanhantes?

Essas pessoas precisam obrigatoriamente de acompanhantes em suas viagens.",ATENDE+,1.0,1.0,1,1.0,1.0,,,,1.8258,1.0,1.000000
F016,faq,O que é o Bilhete do Professor da SPTrans?,"O Bilhete do Professor é um cartão que permite ao professor ter acesso a um desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano (metrô/trem). No entanto, é importante ressaltar que o professor não tem direito às cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem à gratuidade.

Para obter o Bilhete do Professor, é cobrado o valor correspondente a 5 tarifas de ônibus vigentes para a 1ª via ou revalidação, e 10 tarifas para a 2ª via.",monoagente,3.2522,faq,faq,,2026-06-30T09:49:19.583883,2026-06-30T09:49:22.836249,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:19.583883,2026-06-30T09:49:19.583883,,,,,,,,,O que é o Bilhete do Professor?,"É um cartão para o acesso ao professor que que possui os requisitos necessários ao benefício do desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ressaltamos que o professor não tem direito as cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem a gratuidade.","O que é o Bilhete do Professor?

É um cartão para o acesso ao professor que que possui os requisitos necessários ao benefício do desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ressaltamos que o professor não tem direito as cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem a gratuidade.",BILHETE DO PROFESSOR,1.0,1.0,1,0.94,1.0,,,,3.2524,1.0,0.980000
F017,faq,Como solicitar o Bilhete do Professor da SPTrans?,"Para solicitar o Bilhete do Professor da SPTrans, siga os passos abaixo:

1. Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente.
2. Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa através do site [sptrans.com.br/professor](http://sptrans.com.br/professor).
3. Inicie o processo de solicitação e digite seu RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor.
4. Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto.
5. Após a conclusão dessas etapas, o cartão será encaminhado para a sua unidade de ensino em até 20 dias úteis a partir da confirmação de pagamento do pedido.",monoagente,3.7311,faq,faq,,2026-06-30T09:49:22.838249,2026-06-30T09:49:26.568535,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:22.838249,2026-06-30T09:49:22.838249,,,,,,,,,Como faço para solicitar o Bilhete do Professor?,"Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente;


Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa  através do site sptrans.com.br/professor;


Basta iniciar o processo de solicitação e digitar RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor;


Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto;


Após a conclusão dessas etapas o cartão será encaminhado para a sua unidade de ensino, em até 20 (vinte) dias úteis a partir da confirmação de pagamento do pedido.","Como faço para solicitar o Bilhete do Professor?

Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente;


Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa  através do site sptrans.com.br/professor;


Basta iniciar o processo de solicitação e digitar RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor;


Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto;


Após a conclusão dessas etapas o cartão será encaminhado para a sua unidade de ensino, em até 20 (vinte) dias úteis a partir da confirmação de pagamento do pedido.",BILHETE DO PROFESSOR,1.0,1.0,1,0.9623,1.0,,,,3.7303,1.0,0.987433
F019,faq,"Depois de comprar cotas do Bilhete do Professor, posso mudar de opção ou transferir o saldo?","Após comprar cotas do Bilhete do Professor, não é possível mudar de opção ou transferir o saldo. O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano (metrô/trem) e não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.",monoagente,2.2469,faq,faq,,2026-06-30T09:49:26.572059,2026-06-30T09:49:28.818530,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:26.572059,2026-06-30T09:49:26.572059,,,,,,,,,Depois de comprada a cota posso mudar de opção e transferir o saldo?,O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ele não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.,"Depois de comprada a cota posso mudar de opção e transferir o saldo?

O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ele não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.",BILHETE DO PROFESSOR,1.0,1.0,1,0.9412,1.0,,,,2.2465,1.0,0.980400
