id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,atualidade,qoi
R001,rota,"Como ir de ônibus do Hospital Campo Limpo até a Avenida Paulista, 900, Bela Vista?","Para ir de ônibus do Hospital Campo Limpo até a Avenida Paulista, 900, Bela Vista, você pode seguir este trajeto:

1. **Caminhada**: Ande até o Hospital Campo Limpo (0.1 km) - Duração: 2 minutos.
2. **Ônibus**: Pegue o ônibus da linha **6451-10 - Terminal Capelinha / Terminal Bandeira via Marginal Pinheiros** em direção ao Terminal Bandeira. 
   - **Horário de saída**: 8:50 AM
   - **Horário de chegada**: 9:36 AM
   - Duração: 46 minutos.
3. **Caminhada**: Após descer do ônibus, ande até a Avenida Paulista, 900 - Bela Vista (1.0 km) - Duração: 16 minutos.

**Duração total do trajeto**: aproximadamente 1 hora e 4 minutos.",monoagente,5.6628,consultar_rota,consultar_rota,,2026-06-30T08:47:05.432115,2026-06-30T08:47:11.093559,rota,,,,,,,2026-06-30T08:47:04.667060,2026-06-30T08:47:05.432115,,,64,17.07,0,6451-10,Hospital Campo Limpo,Getúlio Vargas B/C,,,,,,,1,0.945,1.0,,,5.6614,1.0,0.981667
R002,rota,"Qual é a rota de ônibus mais rápida da Praça da Sé até a Rua Alvarenga, 1000, no Butantã?","A rota de ônibus mais rápida da Praça da Sé até a Rua Alvarenga, 1000, no Butantã é a seguinte:

1. **Caminhada** até o Pateo do Colegio (0.3 km) - Duração: 4 minutos.
2. **Ônibus** linha 508L-10 (Circular Terminal Princesa Isabel / Paulista / Aclimação / Sé) em direção ao Terminal Princesa Isabel - Duração: 8 minutos.
   - **Saída**: 8:57 AM
   - **Chegada**: 9:04 AM
3. **Ônibus** linha 7545-10 (Jardim João XXIII / Praça Ramos de Azevedo) em direção ao Jardim João XXIII - Duração: 24 minutos.
   - **Saída**: 9:11 AM
   - **Chegada**: 9:35 AM
4. **Caminhada** até a Rua Alvarenga, 1000 (0.1 km) - Duração: 2 minutos.

**Duração total**: 45 minutos  
**Distância total**: 10.6 km",monoagente,5.3017,consultar_rota,consultar_rota,,2026-06-30T08:47:12.117961,2026-06-30T08:47:17.433103,rota,,,,,,,2026-06-30T08:47:11.093559,2026-06-30T08:47:12.117961,,,45,10.58,1,508L-10|7545-10,"Pateo do Colegio|Av. São João, 588","Av. São João, 588|Rua Reação, 300",,,,,,,1,0.97,0.8,,,5.3151,1.0,0.923333
R003,rota,"Como ir de ônibus, com menos caminhada, do Terminal Parque Dom Pedro II até o Largo da Batata, em Pinheiros?","Para ir de ônibus do Terminal Parque Dom Pedro II até o Largo da Batata, em Pinheiros, com menos caminhada, siga este trajeto:

1. **Caminhada**: Ande 0.2 km até o Terminal Parque Dom Pedro II (duração: 3 minutos).
2. **Ônibus**: Pegue o ônibus da linha **909T-10 - Terminal Pinheiros / Terminal Parque Dom Pedro II via Consolação**. A viagem de ônibus é de aproximadamente 53 minutos.
   - **Horário de saída**: 8:57 AM
   - **Parada de chegada**: Rua Baltazar Carrasco, 176 - Parada Faria Lima.
3. **Caminhada**: Ande 0.2 km até o Largo da Batata (duração: 4 minutos).

A duração total do trajeto é de cerca de 1 hora.",monoagente,7.9673,consultar_rota,consultar_rota,,2026-06-30T08:47:18.047476,2026-06-30T08:47:26.030128,rota,,,,,,,2026-06-30T08:47:17.433103,2026-06-30T08:47:18.047476,,,60,10.04,0,909T-10,Terminal Parque Dom Pedro II,"Rua Baltazar Carrasco, 176 - Parada Faria Lima",,,,,,,1,0.875,1.0,,,7.9827,1.0,0.958333
R004,rota,"Qual rota de ônibus mais rápida sai do MASP, na Avenida Paulista, até o Shopping Morumbi?","A rota de ônibus mais rápida do MASP, na Avenida Paulista, até o Shopping Morumbi é a seguinte:

1. **Caminhada** até a parada Getúlio Vargas C/B 1 (0.4 km) - Duração: 5 minutos.
2. **Ônibus** linha 6505-10 (Terminal Guarapiranga / Terminal Bandeira) em direção ao Terminal Guarapiranga - Duração: 24 minutos.
   - **Horário de saída:** 8:55 AM
   - **Horário de chegada:** 9:19 AM
3. **Caminhada** até a Estação de Transferência Santo Amaro/Brooklin (0.1 km) - Duração: 1 minuto.
4. **Ônibus** linha 607C-10 (Jardim Miriam / Itaim Bibi) em direção ao Itaim Bibi - Duração: 4 minutos.
   - **Horário de saída:** 9:24 AM
   - **Horário de chegada:** 9:29 AM
5. **Caminhada** até o Shopping Morumbi (0.3 km) - Duração: 5 minutos.

**Duração total:** 44 minutos  
**Distância total:** 10.2 km",monoagente,5.6912,consultar_rota,consultar_rota,,2026-06-30T08:47:27.046885,2026-06-30T08:47:32.735147,rota,,,,,,,2026-06-30T08:47:26.030128,2026-06-30T08:47:27.046885,,,44,10.23,1,6505-10|607C-10,Getúlio Vargas C/B 1|Estação de Transferência Santo Amaro/Brooklin,Roque Petroni Júnior C/B 1|Morumbi Shopping B/C,,,,,,,1,0.72,1.0,,,5.6883,1.0,0.906667
R005,rota,Como ir de ônibus do Terminal Bandeira até o Hospital das Clínicas da FMUSP?,"Para ir de ônibus do Terminal Bandeira até o Hospital das Clínicas da FMUSP, siga este trajeto:

1. **Caminhe** até a Rua Cel. Xavier de Toledo, 295 - Ponto Final da Linha 7545 (0.4 km). Duração: 6 minutos.
2. **Pegue o ônibus** da linha **7545-10** (Jardim João XXIII / Praça Ramos de Azevedo) em direção ao Hospital das Clínicas. A viagem de ônibus é de 12 minutos (4.3 km).
   - **Horário de saída**: 8:58 AM
   - **Horário de chegada**: 9:10 AM
3. **Caminhe** até o Hospital das Clínicas, que fica na R. Dr. Ovídio Pires de Campos, 225 - Cerqueira César (0.3 km). Duração: 5 minutos.

A duração total do trajeto é de aproximadamente 24 minutos.",monoagente,4.336,consultar_rota,consultar_rota,,2026-06-30T08:47:33.571052,2026-06-30T08:47:37.893422,rota,,,,,,,2026-06-30T08:47:32.735147,2026-06-30T08:47:33.571052,,,24,5.04,0,7545-10,"Rua Cel. Xavier de Toledo, 295 - Ponto Final da Linha 7545",Clínicas C/B,,,,,,,1,0.92,1.0,,,4.3224,1.0,0.973333
R006,rota,Me mostre a rota de ônibus mais rápida do Terminal Jabaquara até o Terminal Parque Dom Pedro II.,"A rota mais rápida do Terminal Jabaquara até o Terminal Parque Dom Pedro II é a seguinte:

1. **Caminhada** até Av. Eng. Armando de Arruda Pereira, 1897 - Parada Metrô Jabaquara (0.2 km)
   - Duração: 1 min

2. **Ônibus** (Linha 175T-10 - ↕ Santana) em direção a Santana (9.5 km)
   - Duração: 30 mins
   - Horário de saída: 8:48 AM
   - Horário de chegada: 9:18 AM

3. **Ônibus** (Linha 5611-10 - Eldorado / Praça João Mendes via Alvarenga) em direção à Praça João Mendes via Alvarenga (5.8 km)
   - Duração: 17 mins
   - Horário de saída: 9:22 AM
   - Horário de chegada: 9:35 AM

4. **Ônibus** (Linha 5300-10 - Terminal Santo Amaro / Terminal Parque Dom Pedro II via Ibirapuera) em direção ao Terminal Parque Dom Pedro II (1.2 km)
   - Duração: 4 mins
   - Horário de saída: 9:39 AM
   - Horário de chegada: 9:42 AM

5. **Caminhada** até o Terminal Parque Dom Pedro II (0.3 km)
   - Duração: 4 mins

**Duração total da viagem:** 58 minutos  
**Distância total:** 16.9 km",monoagente,6.914,consultar_rota,consultar_rota,,2026-06-30T08:47:39.103940,2026-06-30T08:47:46.017180,rota,,,,,,,2026-06-30T08:47:37.907498,2026-06-30T08:47:39.103940,,,58,16.92,2,175T-10|5611-10|5300-10,"Av. Eng. Armando de Arruda Pereira, 1897 - Parada Metrô Jabaquara|Av. Prof. Ascendino Reis, 795|Acesso À Praça Doutor João Mendes","Av. Prof. Ascendino Reis, 795|Acesso À Praça Doutor João Mendes|Rua Dr. Bittencourt Rodrigues, 380 - Praça Fernando Costa",,,,,,,1,0.97,1.0,,,6.9132,1.0,0.990000
R007,rota,"Como ir de ônibus do Terminal Tatuapé até o MASP, na Avenida Paulista?","Para ir de ônibus do Terminal Tatuapé até o MASP na Avenida Paulista, você pode seguir este trajeto:

1. **Caminhada**: Ande até a Rua Guandu, 8 (0.4 km) - Duração: 5 minutos.
2. **Ônibus**: Pegue o ônibus da linha **3053-10** (Jardim Itápolis / Belém) em direção a Belém. 
   - Saída: Rua Guandu, 8
   - Chegada: Av. Álvaro Ramos, 1917
   - Duração: 6 minutos.
3. **Ônibus**: Em seguida, pegue o ônibus da linha **5141-10** (Terminal Sapopemba / Praça do Correio) em direção à Praça do Correio.
   - Saída: Av. Álvaro Ramos, 1917
   - Chegada: Av. Mercúrio, Oposto Nº 180
   - Duração: 21 minutos.
4. **Ônibus**: Depois, pegue o ônibus da linha **6403-10** (Terminal João Dias / Terminal Parque Dom Pedro II) em direção ao Terminal João Dias.
   - Saída: Av. Mercúrio, Oposto Nº 180
   - Chegada: Getúlio Vargas C/B 1
   - Duração: 12 minutos.
5. **Caminhada**: Por fim, ande até o MASP na Avenida Paulista, 1578 (0.4 km) - Duração: 7 minutos.

**Duração total estimada**: 1 hora e 3 minutos.",monoagente,6.5087,consultar_rota,consultar_rota,,2026-06-30T08:47:47.183382,2026-06-30T08:47:53.700072,rota,,,,,,,2026-06-30T08:47:46.033331,2026-06-30T08:47:47.183382,,,63,13.02,2,574W-10|5141-10|6403-10,"Av. Regente Feijó, 949|Av. Álvaro Ramos, 1917|Av. Mercúrio, Oposto Nº 180","Av. Álvaro Ramos, 1917|Av. Mercúrio, Oposto Nº 180|Getúlio Vargas C/B 1",,,,,,,1,0.7017,1.0,,,6.5167,1.0,0.900567
R008,rota,Qual trajeto de ônibus faço do Terminal Santo Amaro até o Portão 3 do Parque Ibirapuera?,"Para ir do Terminal Santo Amaro até o Portão 3 do Parque Ibirapuera, siga este trajeto:

1. **Caminhe até o Terminal Santo Amaro** (0.3 km) - Duração: 5 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 5111-10 - Terminal Santo Amaro / Terminal Parque Dom Pedro II via Av. Santo Amaro.
   - **Duração**: 41 minutos.
   - **Saída**: 8:53 AM.
   - **Chegada**: 9:34 AM.
   - **Parada**: Av. Brg. Luís Antônio, 4149 - Parada Parque Ibirapuera.
3. **Caminhe até o Portão 3 do Parque Ibirapuera** (0.2 km) - Duração: 3 minutos.

A duração total do trajeto é de aproximadamente 49 minutos.",monoagente,5.3078,consultar_rota,consultar_rota,,2026-06-30T08:47:54.628840,2026-06-30T08:47:59.945970,rota,,,,,,,2026-06-30T08:47:53.701297,2026-06-30T08:47:54.628840,,,48,10.84,0,669A-10,Terminal Santo Amaro,"Av. Brg. Luís Antônio, 4149 - Parada Parque Ibirapuera",,,,,,,1,0.93,1.0,,,5.3171,1.0,0.976667
R009,rota,"Como chegar de ônibus do Mercado Municipal da Lapa até a Rua Domingos de Morais, 1000, na Vila Mariana?","Para chegar do Mercado Municipal da Lapa até a Rua Domingos de Morais, 1000, na Vila Mariana, você pode seguir este trajeto:

1. **Caminhe** até a Rua Joaquim Machado, 212 (0.3 km) - Duração: 5 minutos.
2. **Pegue o ônibus** da linha **7281-10** (Lapa / Praça Ramos de Azevedo) em direção à Praça Ramos de Azevedo. 
   - **Horário de saída**: 8:55 AM
   - **Horário de chegada**: 9:19 AM
   - Duração: 24 minutos.
3. **Caminhe** até a Av. Paulista, 2319 (0.2 km) - Duração: 3 minutos.
4. **Pegue o ônibus** da linha **875A-10** (Aeroporto / Perdizes) em direção ao Aeroporto.
   - **Horário de saída**: 9:26 AM
   - **Horário de chegada**: 9:42 AM
   - Duração: 16 minutos.
5. **Caminhe** até a Rua Domingos de Morais, 1000 (0.2 km) - Duração: 3 minutos.

**Duração total**: aproximadamente 55 minutos.",monoagente,7.1658,consultar_rota,consultar_rota,,2026-06-30T08:48:00.803209,2026-06-30T08:48:07.980476,rota,,,,,,,2026-06-30T08:47:59.945970,2026-06-30T08:48:00.803209,,,55,12.49,1,7281-10|875A-10,"Rua Joaquim Machado, 212 - Ponto Inicial da Linha 7281|Av. Paulista, 2319","Paulista B/C|Rua Vergueiro, 2740",,,,,,,1,0.945,1.0,,,7.1773,1.0,0.981667
R010,rota,Qual rota de ônibus faço do Terminal Santo Amaro até o Shopping SP Market?,"A rota de ônibus do Terminal Santo Amaro até o Shopping SP Market é a seguinte:

1. **Caminhada**: Ande até o Terminal Santo Amaro (0.2 km) - Duração: 4 minutos.
2. **Ônibus**: Pegue o ônibus da linha **6071-10 - Jardim Orion / Terminal Santo Amaro** em direção a Jardim Orion. A viagem de ônibus é de 5.3 km e leva aproximadamente 18 minutos.
   - **Horário de saída**: 8:57 AM
   - **Horário de chegada**: 9:15 AM
3. **Caminhada**: Após descer do ônibus, ande até o Shopping SP Market (0.4 km) - Duração: 1 minuto.

A duração total da viagem é de aproximadamente 22 minutos.",monoagente,4.577,consultar_rota,consultar_rota,,2026-06-30T08:48:08.913286,2026-06-30T08:48:13.488233,rota,,,,,,,2026-06-30T08:48:07.980476,2026-06-30T08:48:08.913286,,,20,6.34,0,6091-10,Terminal Santo Amaro,"Av. das Nações Unidas, 22462",,,,,,,1,0.5,1.0,,,4.5749,1.0,0.833333
