id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,delta_temporal_faq_seg,atualidade,qoi
S001,status,Onde estão os ônibus da linha 6455-10 sentido 1?,Você pode acompanhar os ônibus da linha 6455-10 (LGO. SÃO FRANCISCO) através deste [link](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=LGO.%20S%C3%83O%20FRANCISCO).,monoagente,2.6809,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:14.570095,2026-06-28T18:17:17.251187,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=LGO.%20S%C3%83O%20FRANCISCO,63,6455-10,LGO. SÃO FRANCISCO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:14.318197,2026-06-28T18:17:14.570095,,,,,,,,,,,,,,,1,1.0,1.0,2.6811,,,,1.0,1.000000
S002,status,Onde estão os ônibus da linha 6455-10 sentido 2?,Você pode acompanhar os ônibus da linha 6455-10 (sentido 2) através deste [link do Olho Vivo](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=TERM.%20CAPELINHA).,monoagente,3.0046,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:17.253249,2026-06-28T18:17:20.257796,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=TERM.%20CAPELINHA,63,6455-10,TERM. CAPELINHA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:17.253249,2026-06-28T18:17:17.253249,,,,,,,,,,,,,,,1,1.0,1.0,3.0045,,,,1.0,1.000000
S003,status,Mostre o mapa da linha 875A-10 sentido 1.,Aqui está o link para acompanhar os ônibus da linha 875A-10 (PERDIZES): [Mapa da linha 875A-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=PERDIZES).,monoagente,3.2869,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:20.480623,2026-06-28T18:17:23.768270,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=PERDIZES,609,875A-10,PERDIZES,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:20.259801,2026-06-28T18:17:20.480623,,,,,,,,,,,,,,,1,1.0,1.0,3.2876,,,,1.0,1.000000
S004,status,Mostre o mapa da linha 875A-10 sentido 2.,Aqui está o link para acompanhar os ônibus da linha 875A-10 (AEROPORTO) no sentido 2: [Mapa da linha 875A-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=AEROPORTO).,monoagente,2.6085,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:23.769272,2026-06-28T18:17:26.377889,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=AEROPORTO,609,875A-10,AEROPORTO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:23.769272,2026-06-28T18:17:23.769272,,,,,,,,,,,,,,,1,1.0,1.0,2.6086,,,,1.0,1.000000
S005,status,Quero acompanhar os ônibus da linha 8000-10 sentido 1.,Aqui está o link para acompanhar os ônibus da linha 8000-10 (PÇA. RAMOS DE AZEVEDO) no sentido 1: [Acompanhar ônibus](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=P%C3%87A.%20RAMOS%20DE%20AZEVEDO).,monoagente,3.2514,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:26.608362,2026-06-28T18:17:29.860256,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=P%C3%87A.%20RAMOS%20DE%20AZEVEDO,1273,8000-10,PÇA. RAMOS DE AZEVEDO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:26.378884,2026-06-28T18:17:26.608362,,,,,,,,,,,,,,,1,1.0,1.0,3.2519,,,,1.0,1.000000
S006,status,Quero acompanhar os ônibus da linha 8000-10 sentido 2.,Você pode acompanhar os ônibus da linha 8000-10 (TERM. LAPA) através do seguinte link: [Acompanhar ônibus](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=TERM.%20LAPA).,monoagente,2.1868,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:29.861253,2026-06-28T18:17:32.047840,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=TERM.%20LAPA,1273,8000-10,TERM. LAPA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:29.860256,2026-06-28T18:17:29.861253,,,,,,,,,,,,,,,1,1.0,1.0,2.1866,,,,1.0,1.000000
S007,status,Onde vejo a localização dos ônibus da linha 715M-10 sentido 1?,Você pode acompanhar a localização dos ônibus da linha 715M-10 (LGO. DA PÓLVORA) através deste [link](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=LGO.%20DA%20P%C3%93LVORA).,monoagente,2.9978,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:32.268923,2026-06-28T18:17:35.267102,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=LGO.%20DA%20P%C3%93LVORA,490,715M-10,LGO. DA PÓLVORA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:32.047840,2026-06-28T18:17:32.268923,,,,,,,,,,,,,,,1,1.0,1.0,2.9982,,,,1.0,1.000000
S008,status,Onde vejo a localização dos ônibus da linha 715M-10 sentido 2?,Você pode acompanhar a localização dos ônibus da linha 715M-10 (JD. MARIA LUIZA) através deste [link](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=JD.%20MARIA%20LUIZA).,monoagente,2.4459,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:35.267102,2026-06-28T18:17:37.713307,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=JD.%20MARIA%20LUIZA,490,715M-10,JD. MARIA LUIZA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:35.267102,2026-06-28T18:17:35.267102,,,,,,,,,,,,,,,1,1.0,1.0,2.4462,,,,1.0,1.000000
S009,status,Abra o status em tempo real da linha 709M-10 sentido 1.,Aqui está o link para acompanhar os ônibus da linha 709M-10 (TERM. PINHEIROS) em tempo real: [Acompanhar ônibus](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20PINHEIROS).,monoagente,2.7937,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:37.942930,2026-06-28T18:17:40.735899,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20PINHEIROS,2462,709M-10,TERM. PINHEIROS,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:37.713307,2026-06-28T18:17:37.942930,,,,,,,,,,,,,,,1,1.0,1.0,2.793,,,,1.0,1.000000
S010,status,Abra o status em tempo real da linha 709M-10 sentido 2.,Aqui está o link para acompanhar os ônibus da linha 709M-10 (TERM. STO. AMARO) em tempo real: [Acompanhar ônibus](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20STO.%20AMARO).,monoagente,2.1745,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:40.736899,2026-06-28T18:17:42.912824,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20STO.%20AMARO,2462,709M-10,TERM. STO. AMARO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:40.736899,2026-06-28T18:17:40.736899,,,,,,,,,,,,,,,1,1.0,1.0,2.1759,,,,1.0,1.000000
